supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-t277	342	 	1025	 	 	CC(C)(C)OC(N1[C@@H](CCO)COCC1)=O	MFCD13194716	tert-butyl 3-(2-hydroxyethyl)morpholine-4-carboxylate	1784401-31-5	http://spirochem.com/tert-butyl-3-2-hydroxyethyl-morpholine-4-carboxylate.html	95			1G	5G	
SPC-t278	58	1208	207	683	342	CC(C)(C)OC(N1C[C@@H](CCO)CCC1)=O	MFCD04114970	tert-butyl 3-(2-hydroxyethyl)piperidine-1-carboxylate	146667-84-7	http://spirochem.com/tert-butyl-3-2-hydroxyethyl-piperidine-1-carboxylate.html	95	25G	50G	1G	5G	10G
SPC-t279	342	 	1025	 	 	CC(C)(C)OC(N(CC1)C[C@H]1C(C)(C)O)=O		tert-butyl 3-(2-hydroxypropan-2-yl)pyrrolidine-1-carboxylate	1357923-35-3	http://spirochem.com/tert-butyl-3-2-hydroxypropan-2-yl-pyrrolidine-1-carboxylate.html	95			1G	5G	
SPC-t280	287	 	855	 	1398	CCOC(CC([C@@H](CCC1)CN1C(OC(C)(C)C)=O)=O)=O	MFCD04115571	tert-butyl 3-(3-ethoxy-3-oxopropanoyl)piperidine-1-carboxylate	877173-80-3	http://spirochem.com/tert-butyl-3-3-ethoxy-3-oxopropanoyl-piperidine-1-carboxylate.html	95			1G	5G	10G
SPC-t281	172	 	514	 	 	CC(C)(C)OC(N(CC1)C[C@H]1n1ncc(N)c1)=O	MFCD10687121	tert-butyl 3-(4-amino-1H-pyrazol-1-yl)pyrrolidine-1-carboxylate	1029413-53-3	http://spirochem.com/tert-butyl-3-4-amino-1h-pyrazol-1-yl-pyrrolidine-1-carboxylate.html	95			1G	5G	
SPC-t282	110	2078	199	1336	446	CC(C)(C)OC(N(C1)CC1C(NO)=N)=O	NA	tert-butyl 3-(N-hydroxycarbamimidoyl)azetidine-1-carboxylate	1309207-05-3	http://spirochem.com/tert-butyl-3-n-hydroxycarbamimidoyl-azetidine-1-carboxylate.html	95	5G	10G	0.1G	0.25G	1G
SPC-t283	150	2227	297	743	495	CC(C)(C)OC(N1CC(CN)(CO)C1)=O		tert-butyl 3-(aminomethyl)-3-(hydroxymethyl)azetidine-1-carboxylate	1784212-82-3	http://spirochem.com/tert-butyl-3-aminomethyl-3-hydroxymethyl-azetidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t284	456	 	1342	 	 	CC(C)(C)OC(n1nc(CBr)c2c1cccc2)=O	NA	tert-butyl 3-(bromomethyl)-1H-indazole-1-carboxylate	174180-42-8	http://spirochem.com/tert-butyl-3-bromomethyl-1h-indazole-1-carboxylate.html	95			1G	5G	
SPC-t285	120	1781	238	594	396	CC(C)(C)OC(N(C1)CC1(CO)OC)=O		tert-butyl 3-(hydroxymethyl)-3-methoxyazetidine-1-carboxylate	1779977-63-7	http://spirochem.com/tert-butyl-3-hydroxymethyl-3-methoxyazetidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t287	139	1342	273	683	456	CC(C)(C)OC(N(CCC1)C[C@@]1(CO)N)=O		tert-butyl 3-amino-3-(hydroxymethyl)piperidine-1-carboxylate	1262406-69-8	http://spirochem.com/tert-butyl-3-amino-3-hydroxymethyl-piperidine-1-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
